Town,Region,Country,Latitude,Longitude
Paris,Île-de-France,France,48.866667,2.333333
Saint-Michel-sur-Orge,Île-de-France,France,48.630299,2.3025
Saint-Dié-des-Vosges,Grand Est,France,48.279999,6.95
Denain,Hauts-de-France,France,50.329399,3.3958
Gif-sur-Yvette,Île-de-France,France,48.701801,2.1339
Loos,Nord  Hauts-de-France,France,50.612801,3.0144
Fleury-les-Aubrais,Centre-Val de Loire,France,47.951199,1.8745
Saint-Genis-Laval,Auvergne-Rhône-Alpes,France,45.695999,4.793
Le Mée-sur-Seine,Île-de-France,France,48.533298,2.6289
Lagny-sur-Marne,Île-de-France,France,48.878799,2.7075
Dax,Nouvelle-Aquitaine,France,43.709999,-1.05
Montmorency,Île-de-France,France,48.990601,2.3228
Neuilly-Plaisance,Île-de-France,France,48.8619,2.5064
Halluin,Hauts-de-France,France,50.7836,3.1256
Saint-Gratien,Île-de-France,France,48.971901,2.2828
Wasquehal,Hauts-de-France,France,50.669399,3.1308
Vélizy-Villacoublay,Île-de-France,France,48.783401,2.1834
Dammarie-lès-Lys,Île-de-France,France,48.5177,2.6402
Croix,Nord  Hauts-de-France,France,50.678101,3.1508
Lisieux,Normandy,France,49.146599,0.22925
La Celle-Saint-Cloud,Île-de-France,France,48.841099,2.1344
Grande-Synthe,Hauts-de-France,France,51.013901,2.3028
Morsang-sur-Orge,Île-de-France,France,48.6618,2.3461
Hérouville-Saint-Clair Normandy,France,France,49.204399,-0.3253
La Valette-du-Var,Provence-Alpes-Côte d'Azur,France,43.138302,5.9831
Mons-en-Barœul,Hauts-de-France,France,50.636925,3.110259
Sarreguemines,Grand Est,France,49.110001,7.07
Forbach,Grand Est,France,49.189999,6.9
Sainte-Foy-lès-Lyon,Auvergne-Rhône-Alpes,France,45.73,4.8
Longjumeau,Île-de-France,France,48.694302,2.2958
Hazebrouck,Hauts-de-France,France,50.724998,2.5392
Auch,Occitanie,France,43.6465,0.5855
Montigny-lès-Metz,the Grand Est,France,49.100601,6.1539
Beaune,Bourgogne-Franche-Comté,France,47.025002,4.8397
Lanester,Brittany,France,47.764702,-3.3422
Coudekerque-Branche,Hauts-de-France,France,51.025299,2.3917
Deuil-la-Barre,Île-de-France,France,48.976742,2.327222
Fontaine,Auvergne-Rhône-Alpes,France,45.193901,5.6856
Combs-la-Ville,Île-de-France,France,48.669998,2.56
Millau,Occitanie,France,44.098598,3.0783
La Madeleine,Hauts-de-France,France,50.6558,3.071
Oyonnax,Auvergne-Rhône-Alpes,France,46.2561,5.6556
Le Creusot,Bourgogne-Franche-Comté,France,46.801399,4.4411
Fontenay-aux-Roses,Île-de-France,France,48.789322,2.28877
Orly,Île-de-France,France,50.727699,0.119067
Saint-Mandé,Île-de-France,France,48.842201,2.4186
Manosque,Provence-Alpes-Côte d'Azur,France,43.834202,5.7839
Le Petit-Quevilly,Normandy,France,49.431099,1.0539
Roissy-en-Brie,Île-de-France,France,48.7906,2.6519
Chaumont,Grand Est,France,48.111698,5.1389
Les Pavillons-sous-Bois,Île-de-France,France,48.900002,2.5
Bruay-la-Buissière,Hauts-de-France,France,50.481899,2.5486
Les Lilas,Île-de-France,France,48.880001,2.42
Vertou,Pays de la Loire,France,47.1689,-1.4697
Cenon,Nouvelle-Aquitaine,France,44.8578,-0.5317
Frontignan,Occitanie,France,43.448299,3.7561
Blagnac,Occitanie,France,43.636398,1.3906
Le Bouscat,Nouvelle-Aquitaine,France,44.865101,-0.5996
Dole,Bourgogne-Franche-Comté,France,47.093102,5.4906
Sèvres,Île-de-France,France,48.823898,2.2117
Épernay,Grand Est,France,49.040298,3.96
Cormeilles-en-Parisis,Île-de-France,France,48.9739,2.2014
Villeneuve-sur-Lot,Nouvelle-Aquitaine,France,44.4081,0.705
Montgeron,Île-de-France,France,48.703899,2.4605
Maisons-Laffitte,Île-de-France,France,48.946899,2.1456
Torcy,Seine-et-Marne Île-de-France,France,48.850201,2.6508
