Town,Region,Country,Latitude,Longitude
Rome,Lazio,Italy, 41.894802, 12.4853384
Affile ,Lazio,Italy,41.884122,13.032688
Agosta ,Lazio,Italy,41.981624,13.032688
Albano Laziale ,Lazio,Italy,41.7288894,12.6582689
Allumiere ,Lazio,Italy,42.156218,11.9038323
Anguillara Sabazia ,Lazio,Italy,42.0837087,12.2829819
Anticoli Corrado ,Lazio,Italy,42.009524,12.989087
Anzio ,Lazio,Italy,41.4471008,12.6285618
Arcinazzo Romano ,Lazio,Italy,41.879722,13.114392
Ardea ,Lazio,Italy,41.608712,12.519382
Ariccia ,Lazio,Italy,41.720709,12.6713481
Arsoli ,Lazio,Italy,42.040525,13.018387
Artena ,Lazio,Italy,41.7419154,12.9121745
Bellegra ,Lazio,Italy,41.883422,13.02679
Bracciano ,Lazio,Italy,41.883422,13.02679
Camerata Nuova ,Lazio,Italy,42.0190706,13.1079422
Campagnano di Roma ,Lazio,Italy,42.141078,12.3836686
Canale Monterano ,Lazio,Italy,42.136043,12.1030665
Canterano ,Lazio,Italy,41.9420762,13.0373148
Capena ,Lazio,Italy,42.1401497,12.540201
Capranica Prenestina ,Lazio,Italy,41.8629967,12.9518024
Carpineto Romano ,Lazio,Italy,41.6044133,13.0847964
Casape ,Lazio,Italy,41.907021,12.885786
Castel Gandolfo ,Lazio,Italy,41.7425222,12.6488774
Castel Madama ,Lazio,Italy,41.9769358,12.8691904
Castel San Pietro Romano ,Lazio,Italy,41.84572,12.894887
Castelnuovo di Porto ,Lazio,Italy,42.1253987,12.5007367
Cave ,Lazio,Italy,41.8179234,12.9283673
Cerreto Laziale ,Lazio,Italy,41.9444034,12.9828053
Cervara di Roma ,Lazio,Italy,41.988224,13.067989
Cerveteri ,Lazio,Italy,41.9983601,12.0988512
Ciampino ,Lazio,Italy,41.8002891,12.6004706
Ciciliano ,Lazio,Italy,43.4351309,12.1784741
Cineto Romano ,Lazio,Italy,42.0498104,12.9630733
Civitavecchia ,Lazio,Italy,42.0937524,11.7922462
Civitella San Paolo ,Lazio,Italy,42.198525,12.576475
Colleferro ,Lazio,Italy,41.727033,13.0041576
Colonna ,Lazio,Italy,41.833718,12.753184
Fiano Romano ,Lazio,Italy,42.1719129,12.5927265
Filacciano ,Lazio,Italy,42.254826,12.597675
Fiumicino ,Lazio,Italy,41.7675656,12.2339473
Fonte Nuova ,Lazio,Italy,41.9962545,12.6236212
Formello ,Lazio,Italy,42.082521,12.400273
Frascati ,Lazio,Italy,41.8082452,12.6803684
Gallicano nel Lazio ,Lazio,Italy,41.8720696,12.8185343
Gavignano ,Lazio,Italy,41.699118,13.051793
Genazzano ,Lazio,Italy,41.8296733,12.9722464
Genzano di Roma ,Lazio,Italy,41.706989,12.6911183
Gerano ,Lazio,Italy,41.933119,12.9937759
Gorga ,Lazio,Italy,41.655017,13.109095
Grottaferrata ,Lazio,Italy,41.788616,12.6667408
Guidonia Montecelio ,Lazio,Italy,41.9842734,12.695319
Jenne ,Lazio,Italy,41.888823,13.169593
Labico ,Lazio,Italy,41.789519,12.880888
Ladispoli ,Lazio,Italy,41.9537219,12.0734646
Lanuvio ,Lazio,Italy,41.6745277,12.6972435
Lariano ,Lazio,Italy,41.7251135,12.8312761
Licenza ,Lazio,Italy,42.0731126,12.9014677
Magliano Romano ,Lazio,Italy,42.158523,12.436773
Mandela ,Lazio,Italy,42.0308068,12.9233231
Manziana ,Lazio,Italy,42.1303442,12.1302711
Marano Equo ,Lazio,Italy,41.994024,13.015988
Marcellina ,Lazio,Italy,42.0236897,12.8070452
Marino ,Lazio,Italy,41.7697883,12.6586082
Mazzano Romano ,Lazio,Italy,42.2046516,12.3996308
Mentana ,Lazio,Italy,42.0350216,12.6422717
Monte Compatri ,Lazio,Italy,41.808918,12.737784
Monte Porzio Catone ,Lazio,Italy,41.8164259,12.7153413
Monteflavio ,Lazio,Italy,42.1081784,12.830382
Montelanico ,Lazio,Italy,41.651117,13.039893
Montelibretti ,Lazio,Italy,42.1409333,12.735332
Monterotondo ,Lazio,Italy,42.0517987,12.6183967
Montorio Romano ,Lazio,Italy,42.1384107,12.8074769
Moricone ,Lazio,Italy,42.117096,12.7716393
Morlupo ,Lazio,Italy,42.1488565,12.5030127
Nazzano ,Lazio,Italy,42.229257,12.5976389
Nemi ,Lazio,Italy,41.7200217,12.7133951
Nerola ,Lazio,Italy,42.1601883,12.785268
Nettuno ,Lazio,Italy,41.4575382,12.661425
Olevano Romano ,Lazio,Italy,41.860621,13.03309
Palestrina ,Lazio,Italy,41.8389656,12.8912487
Palombara Sabina ,Lazio,Italy,42.066633,12.7658115
Percile ,Lazio,Italy,42.0945683,12.9084852
Pisoniano ,Lazio,Italy,41.9060525,12.958888
Poli ,Lazio,Italy,41.8873266,12.8931264
Pomezia ,Lazio,Italy,41.667529,12.5047863
Ponzano Romano ,Lazio,Italy,42.2577967,12.5716266
Riano ,Lazio,Italy,42.100122,12.505675
Rignano Flaminio ,Lazio,Italy,42.2100141,12.4811223
Riofreddo ,Lazio,Italy,42.0605168,13.0003344
Rocca Canterano ,Lazio,Italy,41.956523,13.021788
Rocca di Cave ,Lazio,Italy,41.84642,12.945488
Rocca di Papa ,Lazio,Italy,41.7607608,12.7096141
Rocca Priora ,Lazio,Italy,41.791089,12.761993
Rocca Santo Stefano ,Lazio,Italy,41.910522,13.023789
Roccagiovine ,Lazio,Italy,42.0498018,12.9002574
Roiate ,Lazio,Italy,41.872322,13.067291
Roma ,Lazio,Italy,41.894802,12.4853384
Roviano ,Lazio,Italy,42.0259235,12.9943438
Sacrofano ,Lazio,Italy,42.104946,12.4454599
Sambuci ,Lazio,Italy,41.986123,12.937986
San Cesareo ,Lazio,Italy,41.819196,12.8003335
San Gregorio da Sassola ,Lazio,Italy,41.917121,12.870786
San Polo dei Cavalieri ,Lazio,Italy,42.0095334,12.8384043
San Vito Romano ,Lazio,Italy,41.879821,12.979389
Santa Marinella ,Lazio,Italy,42.0353397,11.8683083
Sant'Angelo Romano ,Lazio,Italy,42.034611,12.714111
Sant'Oreste ,Lazio,Italy,42.2347915,12.518905
Saracinesco ,Lazio,Italy,42.0038627,12.9528696
Segni ,Lazio,Italy,41.6920247,13.0233488
Subiaco ,Lazio,Italy,41.9267153,13.0944317
Tivoli ,Lazio,Italy,41.960922,12.798884
Tolfa ,Lazio,Italy,42.1496129,11.9381951
Torrita Tiberina ,Lazio,Italy,42.2359097,12.618977
Trevignano Romano ,Lazio,Italy,42.1559169,12.2461766
Vallepietra ,Lazio,Italy,41.9269887,13.2306665
Vallinfreda ,Lazio,Italy,42.0842815,12.9966119
Valmontone ,Lazio,Italy,41.778819,12.917489
Velletri ,Lazio,Italy,41.6867015,12.7770433
Vicovaro ,Lazio,Italy,42.0179411,12.8972303
Vivaro Romano ,Lazio,Italy,42.099826,13.006686
Zagarolo ,Lazio,Italy,41.8383835,12.83105
Battipaglia,Salerno  Campania,Italy,	40.616669,	14.983333
Pordenone,Friuli-Venezia,Italy,	45.950001,	12.650000
Rovigo,Veneto,Italy,	45.070278,	11.790556
Mazara del Vallo,Sicily,Italy,	37.650002,	12.583333
Avellino,Campania,Italy,	40.916668,	14.788889
Portici,Campania,Italy,	40.819721,	14.341111
Bagheria,Sicily,Italy,	38.083332,	13.500000
Tivoli,Lazio,Italy,	41.959721,	12.798056
Manfredonia,Apulia,Italy,	41.633331,	15.916667
Foligno,Umbria,Italy,	42.950001,	12.700000
Moncalieri,Piedmont,Italy,	45.000000,	7.683333
Cerignola,Apulia,Italy,	41.266666,	15.900000
Molfetta,Apulia,Italy,	41.200001,	16.600000
Marano di Napoli,Campania,Italy,	40.900002,	14.183333
Acerra,Campania,Italy,	40.950001,	14.366667
Legnano,Lombardy,Italy,	45.599998,	8.916667
Savona,Liguria,Italy,	44.299999,	8.483333
Fano,Marche,Italy,	43.833332,	13.016667
Carrara,Tuscany,Italy,	44.079166,	10.100000
Vigevano,Lombardy,Italy,	45.316666,	8.866667
Castel d'Aiano,Bologna,Italy,	44.278103,	11.001818
Monsummano Terme,PT Tuscany,Italy,	43.869221,	10.814644
Aosta,Aosta Valley,Italy,	45.734955,	7.313076
Campli,Teramo,Italy,	42.727390,	13.687789
Sciacca,Agrigento,Italy,	37.506664,	13.089184
Faeto,Province of Foggia,Italy,	41.323399,	15.162688
Grottaferrata,Metropolitan City of Rome,Italy,	41.786568,	12.673591
