Town,Region,Country,Latitude,Longitude
Manlleu,Catalonia,Spain,"42.000000,",2.283611
Blanes,Catalonia,Spain,"41.675999,",2.793
Los Realejos,Santa Cruz de Tenerife,Spain,"28.350000,",-16.6
Marin,Pontevedra  Galicia,Spain,"42.393333,",-8.7
Narón,Galicia,Spain,"43.549999,",-8.15
Martos,Andalusia,Spain,"37.716667,",-3.966667
Algeciras–La Línea,Andalusia,Spain,"36.168056,",-5.348611
Xàtiva,Valencia,Spain,"38.990276,",-0.521111
Ibiza Town,Balearic Islands,Spain,"38.906986,",1.421416
Torroella de Montgrí,Girona,Spain,"42.041912,",3.126532
Port de Pollença,Balearic Islands,Spain,"39.907406,",3.082407
Los Cristianos,Santa Cruz de Tenerife,Spain,"28.048906,",-16.711597
Castellón de la Plana,Castellón,Spain,"39.986355,",-0.051325
Benahavís,Málaga,Spain,"36.520489,",-5.045557
Ronda,Málaga,Spain,"36.746208,",-5.161225
Tres Cantos,Madrid,Spain,"40.600727,",-3.707974
Bagà,Barcelona,Spain,"42.251392,",1.864243
San Sebastián de La Gomera,Santa Cruz de Tenerife,Spain,"28.093800,",-17.109858
Villamanrique de Tajo,Madrid,Spain,"40.068127,",-3.239508
Aldea,Madrid,Spain,"40.320877,",-4.198743
Pollença,Illes Balears,Spain,"39.877193,",3.016203
Castro Urdiales,Cantabria,Spain,"43.374359,",-3.212943
Lastres,Asturias,Spain,"43.514130,",-5.270294
Santa Eulàlia de Ronçana,Barcelona  Espanya,Spain,"41.637432,",2.232043
Santa Pola,Alicante,Spain,"38.196560,",-0.561244
El Grao de Castellón,Castellón,Spain,"39.980015,",0.013819
Mojácar,Almería,Spain,"37.140278,",-1.850733
Tres Cantos,Madrid,Spain,"40.600727,",-3.707974
Gerena,Sevilla,Spain,"37.527794,",-6.154024
Martorell,Barcelona,Spain,"41.479504,",1.923048
Sant Feliu de Llobregat,Barcelona,Spain,"41.384670,",2.049462
Cabezamesada,Toledo,Spain,"39.815315,",-3.101461
Abarán,Murcia,Spain,"38.204086,",-1.401204
San Miguel de Salinas,Alicante,Spain,"37.978439,",-0.788924
Andratx,Illes Balears,Spain,"39.574429,",2.420254
Haría,Las Palmas,Spain,"29.146667,",-13.498333
Collado Villalba,Madrid,Spain,"40.630878,",-4.005561
Cadaqués,Girona,Spain,"42.288757,",3.277972
Vallat,Castellón  España,Spain,"40.030605,",-0.336671
Barbastro,Huesca,Spain,"42.036041,",0.12844
Leioa,Biscay,Spain,"43.326702,",-2.990057
Quart,Girona,Spain,"41.937801,",2.841068
Valverde,Madrid,Spain,"40.419044,",-3.298925
Baza,Granada,Spain,"37.496651,",-2.767181
Costa Teguise,Las Palmas,Spain,"28.998114,",-13.492963
Moraira,Spain,Spain,"38.692345,",0.133553
Comillas,Cantabria,Spain,"43.388409,",-4.289372
Baiona,Pontevedra,Spain,"42.117779,",-8.850556
