,municipality,postcode,Coordinates,latitude,longitude
0,Alcala de Henares,28801,"Alcala de Henares, Madrid, Spain",40.4819791,-3.3635421
1, Alcobendas,28100,"Alcobendas, Madrid, Spain",40.5372512,-3.637224499999999
2,Alcorcon,28920,"Alcorcón, Madrid, Spain",40.3468454,-3.8278443
3,Aldea del Fresno,28620,"28620 Aldea del Fresno, Madrid, Spain",40.3208765,-4.1987434
4,Algete,28110,"28110 Algete, Madrid, Spain",40.5964617,-3.5016452
5,Alpedrete,28430,"Alpedrete, Madrid, Spain",40.6621635,-4.031169000000001
6,Ambite,28580,"28580 Ambite, Madrid, Spain",40.3283739,-3.1823592
7,Anchuelo,28818,"28818 Anchuelo, Madrid, Spain",40.46472910000001,-3.2690503
8,Aranjuez,28300,"28300 Aranjuez, Madrid, Spain",40.0305018,-3.6040527
9,Arganda del Rey,28500,"Municipality of Arganda del Rey, 28500, Madrid, Spain",40.3064074,-3.4479915
10,Arroyomolinos,28939,"28939 Arroyomolinos, Madrid, Spain",40.2783308,-3.9215541
11,Atazar (El),28189,"28189 El Atazar, Madrid, Spain",40.9340533,-3.4709797
12,Batres,28979,"28976 Batres, Madrid, Spain",40.2083415,-3.920527
13,Becerril de la Sierra,28490,"Becerril de la Sierra, Madrid, Spain",40.7102483,-3.9954969
14,Belmonte de Tajo,28390,"28390 Belmonte de Tajo, Madrid, Spain",40.1344349,-3.3376324
15,Berrueco (El),28192,"28192 El Berrueco, Madrid, Spain",40.8893089,-3.5629234
16,Berzosa del Lozoya,28194,"28194 Berzosa del Lozoya, Madrid, Spain",40.9755539,-3.5236688
17,Boadilla del Monte,28660,"Boadilla del Monte, Madrid, Spain",40.4122794,-3.8887699
18,Boalo (El),28413,"28413 El Boalo, Madrid, Spain",40.7198031,-3.9196432
19,Braojos,28737,"28737 Braojos, Madrid, Spain",41.0402585,-3.6429982
20,Brea de Tajo,28596,"28596 Brea de Tajo, Madrid, Spain",40.2299319,-3.1093942
21,Brunete,28690,"28690 Brunete, Madrid, Spain",40.4043103,-3.9993244
22,Buitrago del Lozoya,28730,"28730 Buitrago del Lozoya, Madrid, Spain",40.989823,-3.6383114
23,Bustarviejo,28720,"Bustarviejo, 28720, Madrid, Spain",40.8381772,-3.7232005
24,Cabanillas de la Sierra,28721,"28721 Cabanillas de la Sierra, Madrid, Spain",40.8220294,-3.6276061
25,Cabrera (La),28751,"José A. Cabrera 5127, C1414 BGS, Buenos Aires, Argentina",-34.5893886,-58.4328436
26,Cadalso de los Vidrios,28640,"28640 Cadalso de los Vidrios, Madrid, Spain",40.3015944,-4.4426499
27,Camarma de Esteruelas,28816,"28816 Camarma de Esteruelas, Madrid, Spain",40.5474107,-3.3766851
28,Campo Real,28510,"R. Comendador Norberto, 1299 - Santa Cruz, Guarapuava - PR, 85015-240, Brazil",-25.4039932,-51.4709576
29,Canencia,28743,"28743 Canencia, Madrid, Spain",40.90722969999999,-3.7385701
30,Carabana,28560,"28560 Carabaña, Madrid, Spain",40.2567009,-3.2376227
31,Casarrubuelos,28977,"Casarrubuelos, 28977, Madrid, Spain",40.171554,-3.832453999999999
32,Cenicientos,28650,"28650 Cenicientos, Madrid, Spain",40.2624728,-4.4658148
33,Cercedilla,28470,"Cercedilla, Madrid, Spain",40.7406497,-4.0568488
34,Cervera de Buitrago,28193,"28193 Cervera de Buitrago, Madrid, Spain",40.9218597,-3.5300444
35,Chapineria,28694,"28694 Chapinería, Madrid, Spain",40.3789786,-4.2115526
36,Chinchon,28370,"28370 Chinchón, Madrid, Spain",40.1402665,-3.4221687
37,Ciempozuelos,28350,"28350 Ciempozuelos, Madrid, Spain",40.157955,-3.6192473
38,Cobena,28863,"28863 Cobeña, Madrid, Spain",40.5683393,-3.5040753
39,Collado Mediano,28450,"Collado Mediano, Madrid, Spain",40.6927311,-4.026725799999999
40,Collado Villalba,28400,"28400 Collado Villalba, Madrid, Spain",40.6308775,-4.0055605
41,Colmenar de Oreja,28380,"28380 Colmenar de Oreja, Madrid, Spain",40.1098823,-3.39055
42,Colmenar del Arroyo,28213,"28213 Colmenar del Arroyo, Madrid, Spain",40.4176079,-4.1987434
43,Colmenar Viejo,28770,"28770 Colmenar Viejo, Madrid, Spain",40.6626481,-3.7710457
44,Colmenarejo,28270,"Colmenarejo, Madrid, Spain",40.5609399,-4.0167486
45,Corpa,28811,"1860 Appleby Line #494, Burlington, ON L7L 7H7, Canada",43.3948801,-79.7920573
46,Coslada,28820,"Coslada, Madrid, Spain",40.4260459,-3.5651646
47,Cubas de la Sagra,28978,"28978 Cubas de la Sagra, Madrid, Spain",40.1910568,-3.8372005
48,Daganzo de Arriba,28814,"28814 Daganzo de Arriba, Madrid, Spain",40.54502979999999,-3.4574079
49,Escorial (El),28280,"Av Juan de Borbón y Battemberg, s/n, 28200 San Lorenzo de El Escorial, Madrid, Spain",40.5890408,-4.1477268
50,Estremera,28595,"28595 Estremera, Madrid, Spain",40.1836518,-3.107101
51,Fresnedillas de la Oliva,28214,"28214 Fresnedillas de la Oliva, Madrid, Spain",40.48640169999999,-4.1722255
52,Fresno de Torote,28815,"28815 Fresno de Torote, Madrid, Spain",40.5923751,-3.4123004
