,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address,Coordinates,latitude,longitude
0,MORRIS PARK BAKE SHOP,BRONX,MORRIS PARK AVE,10462,Bakery,A,"Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
1,WENDY'S,BROOKLYN,FLATBUSH AVENUE,11225,Hamburgers,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
2,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,WEST   57 STREET,10019,Irish,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
3,RIVIERA CATERERS,BROOKLYN,STILLWELL AVENUE,11224,American,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
4,BRUNOS ON THE BOULEVARD,QUEENS,ASTORIA BOULEVARD,11369,American,A,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
5,WILKEN'S FINE FOOD,BROOKLYN,AVENUE U,11234,Delicatessen,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige","Kungsholmen, Stockholm, Sweden",59.3311812,18.0407363
6,TASTE THE TROPICS ICE CREAM,BROOKLYN,NOSTRAND AVENUE,11226,"Ice Cream, Gelato, Yogurt, Ices",A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva","Naujoji Vilnia eldership, Vilnius, Lithuania",54.6834271,25.3847759
7,WILD ASIA,BRONX,SOUTHERN BOULEVARD,10460,American,A,"Bronx County, NYC, New York, USA","The Bronx, NY, USA",40.8447819,-73.8648268
8,1 EAST 66TH STREET KITCHEN,MANHATTAN,EAST   66 STREET,10065,American,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA","505 Park Ave #620, New York, NY 10022, USA",40.7629517,-73.96929639999999
9,NATHAN'S FAMOUS,BROOKLYN,SURF AVENUE,11224,Hotdogs,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
10,SEUDA FOODS,BROOKLYN,KINGS HIGHWAY,11223,Jewish/Kosher,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige","Kungsholmen, Stockholm, Sweden",59.3311812,18.0407363
11,CARVEL ICE CREAM,BROOKLYN,CHURCH AVENUE,11218,"Ice Cream, Gelato, Yogurt, Ices",A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
