,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address
0,MORRIS PARK BAKE SHOP,BRONX,MORRIS PARK AVE,10462,Bakery,A,"Bronx County, NYC, New York, USA"
1,WENDY'S,BROOKLYN,FLATBUSH AVENUE,11225,Hamburgers,A,"BK, Kings County, NYC, New York, USA"
2,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,WEST   57 STREET,10019,Irish,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
3,RIVIERA CATERERS,BROOKLYN,STILLWELL AVENUE,11224,American,A,"BK, Kings County, NYC, New York, USA"
4,BRUNOS ON THE BOULEVARD,QUEENS,ASTORIA BOULEVARD,11369,American,A,"Queens County, NYC, New York, USA"
5,WILKEN'S FINE FOOD,BROOKLYN,AVENUE U,11234,Delicatessen,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
6,TASTE THE TROPICS ICE CREAM,BROOKLYN,NOSTRAND AVENUE,11226,"Ice Cream, Gelato, Yogurt, Ices",A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
7,WILD ASIA,BRONX,SOUTHERN BOULEVARD,10460,American,A,"Bronx County, NYC, New York, USA"
8,1 EAST 66TH STREET KITCHEN,MANHATTAN,EAST   66 STREET,10065,American,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
9,NATHAN'S FAMOUS,BROOKLYN,SURF AVENUE,11224,Hotdogs,A,"BK, Kings County, NYC, New York, USA"
10,SEUDA FOODS,BROOKLYN,KINGS HIGHWAY,11223,Jewish/Kosher,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
11,CARVEL ICE CREAM,BROOKLYN,CHURCH AVENUE,11218,"Ice Cream, Gelato, Yogurt, Ices",A,"BK, Kings County, NYC, New York, USA"
12,CARVEL ICE CREAM,QUEENS,HILLSIDE AVENUE,11004,"Ice Cream, Gelato, Yogurt, Ices",A,"Queens County, NYC, New York, USA"
13,CARVEL ICE CREAM,QUEENS,HILLSIDE AVENUE,11004,"Ice Cream, Gelato, Yogurt, Ices",B,"Queens County, NYC, New York, USA"
14,SAL'S DELI,QUEENS,20 AVENUE,11356,Delicatessen,A,"Queens, Queens County, NYC, New York, USA"
15,STEVE CHU'S DELI & GROCERY,QUEENS,10 STREET,11106,Delicatessen,A,"Queens County, NYC, New York, USA"
16,P & S DELI GROCERY,MANHATTAN,COLUMBUS AVENUE,10025,American,A,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
